articleid,date,show,title
0,15-Apr-15,Morning Edition,Congress Approves Longer-Term Fix For Medicare Reimbursements
1,15-Apr-15,Morning Edition,Who Was John Wilkes Booth Before He Became Lincoln's Assassin?
2,15-Apr-15,Morning Edition,"A Decade After Blowing The Whistle On The FBI, Vindication"
3,15-Apr-15,Morning Edition,"You Didn't Check The 'Presidential Election Campaign' Box On Your Taxes, Did You?"
4,15-Apr-15,Morning Edition,Congress Says It Will Not Tolerate 'Agents Gone Wild'
5,15-Apr-15,All Things Considered,Former FBI Agent Speaks Out: 'I Was Not Protected'
6,15-Apr-15,All Things Considered,President Obama To Remove Cuba From State-Sponsored Terrorism List
7,16-Apr-15,Morning Edition,Vulnerable Voting Machine Raises Questions About Election Security
8,16-Apr-15,Morning Edition,Throwback Thursday: Reagan Announces Run For President
9,16-Apr-15,Morning Edition,"In Or Out In Congress? Gyrocopters, Tweets To Iran, Downton Abbey"
10,16-Apr-15,All Things Considered,The Most Corrupt State In The Country Is ...
11,17-Apr-15,Morning Edition,#NPRreads: From The Hell Of The North To 'Trash' Food
12,17-Apr-15,Morning Edition,Why A Blockbuster Of A Trade Deal With Asia Matters
13,17-Apr-15,Morning Edition,5 Things You Should Know About Mike Huckabee
14,17-Apr-15,All Things Considered,Oklahoma City Bombing A 'Wake-Up Call' For Government Security
15,15-Apr-15,All Things Considered,Congress Approves Longer-Term Fix For Medicare Reimbursements
16,15-Apr-15,Morning Edition,Who Was John Wilkes Booth Before He Became Lincoln's Assassin?
17,15-Apr-15,Morning Edition,"A Decade After Blowing The Whistle On The FBI, Vindication"
18,15-Apr-15,Morning Edition,"You Didn't Check The 'Presidential Election Campaign' Box On Your Taxes, Did You?"
19,15-Apr-15,Morning Edition,Congress Says It Will Not Tolerate 'Agents Gone Wild'
20,15-Apr-15,All Things Considered,Former FBI Agent Speaks Out: 'I Was Not Protected'
21,15-Apr-15,All Things Considered,President Obama To Remove Cuba From State-Sponsored Terrorism List
22,16-Apr-15,Morning Edition,Vulnerable Voting Machine Raises Questions About Election Security
23,16-Apr-15,Morning Edition,Throwback Thursday: Reagan Announces Run For President
24,16-Apr-15,Morning Edition,"In Or Out In Congress? Gyrocopters, Tweets To Iran, Downton Abbey"
25,16-Apr-15,All Things Considered,The Most Corrupt State In The Country Is ...
26,17-Apr-15,Morning Edition,#NPRreads: From The Hell Of The North To 'Trash' Food
27,17-Apr-15,Morning Edition,Why A Blockbuster Of A Trade Deal With Asia Matters
28,17-Apr-15,Morning Edition,5 Things You Should Know About Mike Huckabee
29,17-Apr-15,All Things Considered,Oklahoma City Bombing A 'Wake-Up Call' For Government Security
30,15-Apr-15,Morning Edition,Who Was John Wilkes Booth Before He Became Lincoln's Assassin?
31,15-Apr-15,Morning Edition,"A Decade After Blowing The Whistle On The FBI, Vindication"
